2025-04-04 at 21:26:00 | INFO | Бот ответил на команду /start
2025-04-04 at 21:26:27 | INFO | Бот вернул пользователю сообщение радоваться
2025-04-04 at 21:27:08 | INFO | Бот ответил на команду /start
2025-04-04 at 21:27:08 | INFO | Бот вернул пользователю сообщение Топ
2025-04-04 at 21:27:08 | INFO | Бот вернул пользователю сообщение Мда
2025-04-04 at 21:27:08 | INFO | Бот вернул пользователю сообщение будешь мне помогать
2025-04-04 at 21:27:08 | INFO | Бот ответил на команду /start
2025-04-04 at 21:27:08 | INFO | Бот вернул пользователю сообщение Ура, админ потехоньку начал умирать, Джин работает
2025-04-04 at 21:27:09 | INFO | Бот вернул пользователю сообщение у меня уже мозги видимо в труху сплавились
2025-04-04 at 21:27:09 | INFO | Бот ответил на команду /start
2025-04-04 at 21:27:09 | INFO | Бот ответил на команду /start
2025-04-04 at 21:27:09 | INFO | Бот ответил на команду /start
2025-04-04 at 21:27:09 | INFO | Бот вернул пользователю сообщение Только перед тем как полностью расплавишься дай мне все данные твоей банковской карты
2025-04-04 at 21:27:09 | INFO | Бот ответил на команду /start
2025-04-04 at 21:27:09 | INFO | Бот ответил на команду /start
2025-04-04 at 21:27:09 | INFO | Бот ответил на команду /start
2025-04-04 at 21:27:13 | INFO | Бот вернул пользователю сообщение короче
2025-04-04 at 21:27:14 | INFO | Бот вернул пользователю сообщение Профиль
2025-04-04 at 21:27:14 | INFO | Бот вернул пользователю сообщение Хм
2025-04-04 at 21:27:14 | INFO | Бот вернул пользователю сообщение какой джин
2025-04-04 at 21:27:14 | INFO | Бот вернул пользователю сообщение веном
2025-04-04 at 21:27:19 | INFO | Бот вернул пользователю сообщение Топ
2025-04-04 at 21:27:19 | INFO | Бот вернул пользователю сообщение а не
2025-04-04 at 21:27:19 | INFO | Бот вернул пользователю сообщение мдо
2025-04-04 at 21:27:19 | INFO | Бот вернул пользователю сообщение грязный педофил\
2025-04-04 at 21:27:19 | INFO | Бот вернул пользователю сообщение )
2025-04-04 at 21:27:50 | INFO | Бот вернул пользователю сообщение дать конфетку
2025-04-04 at 21:27:55 | INFO | Бот вернул пользователю сообщение э
2025-04-04 at 21:27:57 | INFO | Бот вернул пользователю сообщение Пососи
2025-04-04 at 21:28:00 | INFO | Бот вернул пользователю сообщение Мда
2025-04-04 at 21:28:03 | INFO | Бот вернул пользователю сообщение дать конфетку
2025-04-04 at 21:28:35 | INFO | Бот создан
2025-04-04 at 21:28:35 | INFO | Диспетчер создан
2025-04-04 at 21:28:36 | INFO | Бот вернул пользователю сообщение Я сосу бибу
2025-04-04 at 21:28:36 | INFO | Бот вернул пользователю сообщение Я сосу бибу
2025-04-04 at 21:28:36 | INFO | Бот вернул пользователю сообщение Админ сделай меня не бедный прогер, а VeNoM
2025-04-04 at 21:29:48 | INFO | Бот вернул пользователю сообщение Venon
2025-04-04 at 21:29:53 | INFO | Бот вернул пользователю сообщение Venom
2025-04-04 at 21:29:57 | INFO | Бот вернул пользователю сообщение Senom vex
2025-04-04 at 21:29:59 | INFO | Бот вернул пользователю сообщение Penis
2025-04-04 at 21:30:06 | INFO | Бот вернул пользователю сообщение Ура
2025-04-04 at 21:30:50 | INFO | Бот создан
2025-04-04 at 21:30:50 | INFO | Диспетчер создан
2025-04-04 at 21:31:37 | INFO | Бот ответил на команду /start
2025-04-04 at 21:31:38 | INFO | Бот ответил на команду /start
2025-04-04 at 21:31:39 | INFO | Бот ответил на команду /start
2025-04-04 at 21:32:40 | INFO | Бот создан
2025-04-04 at 21:32:40 | INFO | Диспетчер создан
2025-04-04 at 21:32:59 | INFO | Бот ответил на команду /start
2025-04-04 at 21:33:21 | INFO | Бот ответил на команду /start
2025-04-04 at 21:37:14 | INFO | Бот создан
2025-04-04 at 21:37:14 | INFO | Диспетчер создан
2025-04-04 at 21:37:27 | INFO | Бот ответил на команду /start
2025-04-04 at 21:40:50 | INFO | Бот создан
2025-04-04 at 21:40:50 | INFO | Диспетчер создан
